time	valores	x	y	optional
23	30	-7.88472221	-40.10111111	TRUE
24	30	-7.88472221	-40.10111111	TRUE
1	64	-7.48333333	-36.28638888	TRUE
2	67	-7.48333333	-36.28638888	TRUE
3	71	-7.48333333	-36.28638888	TRUE
4	74	-7.48333333	-36.28638888	TRUE
5	75	-7.48333333	-36.28638888	TRUE
6	77	-7.48333333	-36.28638888	TRUE
7	78	-7.48333333	-36.28638888	TRUE
8	80	-7.48333333	-36.28638888	TRUE
9	80	-7.48333333	-36.28638888	TRUE
10	75	-7.48333333	-36.28638888	TRUE
11	69	-7.48333333	-36.28638888	TRUE
12	58	-7.48333333	-36.28638888	TRUE
13	48	-7.48333333	-36.28638888	TRUE
14	41	-7.48333333	-36.28638888	TRUE
15	38	-7.48333333	-36.28638888	TRUE
16	35	-7.48333333	-36.28638888	TRUE
17	30	-7.48333333	-36.28638888	TRUE
